Time,Data
10844180000,-234499
10849300000,-272784
10854420000,-300059
10859540000,-315275
10864660000,-317732
10869780000,-307501
10874900000,-284780
10880020000,-250599
10885140000,-206306
10890260000,-153771
10895380000,-94982
10900500000,-32298
10905620000,31445
10910740000,94133
10915860000,152959
10920980000,205683
10926100000,250046
10931220000,284380
10936340000,307226
10941460000,317731
10946580000,315389
10951700000,300360
10956820000,273239
10961940000,235104
10967060000,187486
10972180000,132280
10977300000,71857
10982420000,8428
10987540000,-55299
10992660000,-116799
10997780000,-173586
11002900000,-223378
11008020000,-264190
11013140000,-294340
11018260000,-312644
11023380000,-318326
11028500000,-311240
11033620000,-291584
11038740000,-260155
11043860000,-218232
11048980000,-167568
11054100000,-110148
11059220000,-48179
11064340000,15523
11069460000,78725
11074580000,138731
11079700000,193209
11084820000,239833
11089940000,276827
11095060000,302644
11100180000,316299
11105300000,317179
11110420000,305282
11115540000,281100
11120660000,245597
11125780000,200183
11130900000,146662
11136020000,87337
11141140000,24427
11146260000,-39491
11151380000,-101760
11156500000,-159971
11161620000,-211691
11166740000,-254930
11171860000,-287877
11176980000,-309225
11182100000,-318114
11187220000,-314194
11192340000,-297652
11197460000,-269050
11202580000,-229609
11207700000,-180943
11212820000,-125027
11217940000,-63949
11223060000,-429
11228180000,63109
11233300000,124163
11238420000,180236
11243540000,229021
11248660000,268569
11253780000,297304
11258900000,314063
11264020000,318170
11269140000,309432
11274260000,288254
11279380000,255467
11284500000,212367
11289620000,160687
11294740000,102589
11299860000,40357
11304980000,-23571
11310100000,-86468
11315220000,-145953
11320340000,-199467
11325460000,-245028
11330580000,-280686
11335700000,-305022
11340820000,-317102
11345940000,-316354
11351060000,-302967
11356180000,-277260
11361300000,-240411
11366420000,-193866
11371540000,-139582
11376660000,-79561
11381780000,-16383
11386900000,47336
11392020000,109285
11397140000,166809
11402260000,217628
11407380000,259634
11412500000,291210
11417620000,311037
11422740000,318354
11427860000,312803
11432980000,294681
11438100000,264688
11443220000,224017
11448340000,174309
11453460000,117580
11458580000,56181
11463700000,-7584
11468820000,-70970
11473940000,-131544
11479060000,-186762
11484180000,-234499
11489300000,-272784
11494420000,-300059
11499540000,-315275
11504660000,-317732
11509780000,-307501
11514900000,-284778
11520020000,-250600
11525140000,-206308
11530260000,-153771
11535380000,-94982
11540500000,-32298
11545620000,31445
11550740000,94133
11555860000,152959
11560980000,205683
11566100000,250046
11571220000,284380
11576340000,307226
11581460000,317731
11586580000,315389
11591700000,300360
11596820000,273239
11601940000,235104
11607060000,187486
11612180000,132280
11617300000,71857
11622420000,8428
11627540000,-55299
11632660000,-116799
11637780000,-173586
11642900000,-223378
11648020000,-264190
11653140000,-294340
11658260000,-312644
11663380000,-318326
11668500000,-311240
11673620000,-291583
11678740000,-260154
11683860000,-218234
11688980000,-167568
11694100000,-110148
11699220000,-48179
11704340000,15523
11709460000,78725
11714580000,138731
11719700000,193209
11724820000,239833
11729940000,276827
11735060000,302644
11740180000,316299
11745300000,317179
11750420000,305282
11755540000,281100
11760660000,245597
11765780000,200183
11770900000,146662
11776020000,87337
11781140000,24427
11786260000,-39491
11791380000,-101760
11796500000,-159971
11801620000,-211691
11806740000,-254930
11811860000,-287877
11816980000,-309225
11822100000,-318114
11827220000,-314194
11832340000,-297651
11837460000,-269046
11842580000,-229613
11847700000,-180943
11852820000,-125027
11857940000,-63949
11863060000,-429
11868180000,63109
11873300000,124163
11878420000,180236
11883540000,229021
11888660000,268569
11893780000,297304
11898900000,314063
11904020000,318170
11909140000,309432
11914260000,288254
11919380000,255467
11924500000,212367
11929620000,160687
11934740000,102589
11939860000,40357
11944980000,-23571
11950100000,-86468
11955220000,-145953
11960340000,-199467
11965460000,-245028
11970580000,-280686
11975700000,-305022
11980820000,-317102
11985940000,-316354
11991060000,-302967
11996180000,-277263
12001300000,-240408
12006420000,-193866
12011540000,-139582
12016660000,-79562
12021780000,-16385
12026900000,47339
12032020000,109285
12037140000,166809
12042260000,217628
12047380000,259634
12052500000,291210
12057620000,311037
12062740000,318354
12067860000,312803
12072980000,294681
12078100000,264688
12083220000,224017
12088340000,174309
12093460000,117580
12098580000,56181
12103700000,-7584
12108820000,-70970
12113940000,-131544
12119060000,-186762
12124180000,-234499
12129300000,-272784
12134420000,-300059
12139540000,-315275
12144660000,-317732
12149780000,-307501
12154900000,-284780
12160020000,-250599
12165140000,-206306
12170260000,-153771
12175380000,-94982
12180500000,-32302
12185620000,31449
12190740000,94133
12195860000,152959
12200980000,205683
12206100000,250046
12211220000,284380
12216340000,307226
12221460000,317731
12226580000,315389
12231700000,300360
12236820000,273239
12241940000,235104
12247060000,187486
12252180000,132280
12257300000,71857
12262420000,8428
12267540000,-55299
12272660000,-116799
12277780000,-173586
12282900000,-223378
12288020000,-264190
12293140000,-294340
12298260000,-312644
12303380000,-318326
12308500000,-311240
